Ordered Time,From_Suburb,From_State,From_State,To_Suburb,To_State,To_Postcode,Items,Weight,Volume,Allowed Time (Days)
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,INT,REAL,REAL,INT
3/05/2020 13:58,TRUGANINA,VIC,3029,MOUNT ISA,QLD,4825,1,116.96,0.96,
3/05/2020 14:03,TRUGANINA,VIC,3029,MULLUMBIMBY,NSW,2482,2,9.3,0.073,
3/05/2020 14:07,MOUNT WAVERLY,VIC,3149,JOONDALUP,WA,6027,1,1,0.0071,
3/05/2020 14:08,TRUGANINA,VIC,3029,CAPALABA,QLD,4157,1,0.54,0.1324,
3/05/2020 14:10,TRUGANINA,VIC,3029,EAST BENDIGO,VIC,3550,1,1.13,0.0308,
3/05/2020 14:12,MILPERRA,NSW,2214,BUNGALOW,QLD,4870,1,1,0.0011,
3/05/2020 14:13,TRUGANINA,VIC,3029,WEST GOSFORD,NSW,2250,1,21,0.1204,
3/05/2020 14:13,PORT MELBOURNE,VIC,3207,SPEARWOOD,WA,6163,1,1,0.0074,
3/05/2020 14:14,CARLTON,NSW,2218,SAWTELL,NSW,2452,1,48,0.1014,
3/05/2020 14:17,BRENDALE,QLD,4500,TORONTO,NSW,2283,1,290,2.4047,
3/05/2020 14:18,TRUGANINA,VIC,3029,COFFS HARBOUR,NSW,2450,1,0.04,0.0082,
3/05/2020 14:23,TRUGANINA,VIC,3029,MANDURAH,WA,6210,1,1.11,0.0078,
3/05/2020 14:23,TRUGANINA,VIC,3029,CAIRNS,QLD,4870,2,6.57,0.0489,
3/05/2020 14:24,PORT MELBOURNE,VIC,3207,PEARCEDALE,VIC,3912,1,1.3,0.012,
3/05/2020 14:24,TRUGANINA,VIC,3029,ARMIDALE,NSW,2350,1,0.27,0.0173,
3/05/2020 14:25,PORT MELBOURNE,VIC,3207,BERRINBA,QLD,4117,1,170,0.8213,
3/05/2020 14:25,FRENCHS FOREST,NSW,2086,LEICHHARDT,NSW,2040,1,1,0.0043,
3/05/2020 14:26,BAYSWATER,VIC,3153,FYSHWICK,ACT,2609,3,22,0.2286,
3/05/2020 14:30,BANKSMEADOW,NSW,2019,DANDENONG SOUTH,VIC,3175,1,3,0.012,
3/05/2020 14:31,MOUNT WAVERLY,VIC,3149,HERSTON,QLD,4006,1,16,0.0524,
3/05/2020 14:32,CLAYTON,VIC,3168,MOUNT MARTHA,VIC,3934,1,30,0.5737,
